"","ENSEMBL_ID","Gene_Name"
"198","ENSG00000041515","MYO16"
"199","ENSG00000167306","MYO5B"
"200","ENSG00000124920","MYRF"
"201","ENSG00000162736","NCSTN"
"202","ENSG00000138653","NDST4"
"203","ENSG00000165973","NELL1"
"204","ENSG00000132688","NES"
"205","ENSG00000171532","NEUROD2"
"206","ENSG00000064300","NGFR"
"207","ENSG00000105374","NKG7"
"208","ENSG00000053438","NNAT"
"209","ENSG00000089250","NOS1"
"210","ENSG00000148400","NOTCH1"
"211","ENSG00000056291","NPFFR2"
"212","ENSG00000168743","NPNT"
"213","ENSG00000122585","NPY"
"214","ENSG00000164128","NPY1R"
"215","ENSG00000185551","NR2F2"
"216","ENSG00000153234","NR4A2"
"217","ENSG00000099250","NRP1"
"218","ENSG00000162631","NTNG1"
"219","ENSG00000196358","NTNG2"
"220","ENSG00000198400","NTRK1"
"221","ENSG00000174145","NWD2"
"222","ENSG00000144227","NXPH2"
"223","ENSG00000184221","OLIG1"
"224","ENSG00000205927","OLIG2"
"225","ENSG00000119547","ONECUT2"
"226","ENSG00000197430","OPALIN"
"227","ENSG00000183715","OPCML"
"228","ENSG00000116329","OPRD1"
"229","ENSG00000082556","OPRK1"
"230","ENSG00000125510","OPRL1"
"231","ENSG00000112038","OPRM1"
"232","ENSG00000165899","OTOGL"
"233","ENSG00000169313","P2RY12"
"234","ENSG00000181631","P2RY13"
"235","ENSG00000007372","PAX6"
"236","ENSG00000102290","PCDH11X"
"237","ENSG00000099715","PCDH11Y"
"238","ENSG00000132646","PCNA"
"239","ENSG00000175426","PCSK1"
"240","ENSG00000140479","PCSK6"
"241","ENSG00000112541","PDE10A"
"242","ENSG00000115252","PDE1A"
"243","ENSG00000170962","PDGFD"
"244","ENSG00000134853","PDGFRA"
"245","ENSG00000101327","PDYN"
"246","ENSG00000261371","PECAM1"
"247","ENSG00000181195","PENK"
"248","ENSG00000144824","PHLDB2"
"249","ENSG00000138193","PLCE1"
"250","ENSG00000114805","PLCH1"
"251","ENSG00000180287","PLD5"
"252","ENSG00000168081","PNOC"
"253","ENSG00000133110","POSTN"
"254","ENSG00000106536","POU6F2"
"255","ENSG00000131771","PPP1R1B"
"256","ENSG00000163421","PROK2"
"257","ENSG00000117707","PROX1"
"258","ENSG00000080815","PSEN1"
"259","ENSG00000143801","PSEN2"
"260","ENSG00000205155","PSENEN"
"261","ENSG00000244694","PTCHD4"
"262","ENSG00000081237","PTPRC"
"263","ENSG00000173482","PTPRM"
"264","ENSG00000106278","PTPRZ1"
"265","ENSG00000100362","PVALB"
"266","ENSG00000169900","PYDC1"
"267","ENSG00000100302","RASD2"
"268","ENSG00000172575","RASGRP1"
"269","ENSG00000167281","RBFOX3"
"270","ENSG00000189056","RELN"
"271","ENSG00000131378","RFTN1"
"272","ENSG00000148908","RGS10"
"273","ENSG00000143333","RGS16"
"274","ENSG00000182732","RGS6"
"275","ENSG00000152214","RIT2"
"276","ENSG00000026297","RNASET2"
"277","ENSG00000137393","RNF144B"
"278","ENSG00000198963","RORB"
"279","ENSG00000047936","ROS1"
"280","ENSG00000177519","RPRM"
"281","ENSG00000147655","RSPO2"
"282","ENSG00000171509","RXFP1"
"283","ENSG00000133105","RXFP2"
"284","ENSG00000198838","RYR3"
"285","ENSG00000196154","S100A4"
"286","ENSG00000203727","SAMD5"
"287","ENSG00000177098","SCN4B"
"288","ENSG00000146555","SDK1"
"289","ENSG00000170381","SEMA3E"
"290","ENSG00000112902","SEMA5A"
"291","ENSG00000082684","SEMA5B"
"292","ENSG00000196136","SERPINA3"
"293","ENSG00000100095","SEZ6L"
"294","ENSG00000145423","SFRP2"
"295","ENSG00000138083","SIX3"
"296","ENSG00000091664","SLC17A6"
"297","ENSG00000104888","SLC17A7"
"298","ENSG00000179520","SLC17A8"
"299","ENSG00000187714","SLC18A3"
"300","ENSG00000110436","SLC1A2"
"301","ENSG00000185052","SLC24A3"
"302","ENSG00000091137","SLC26A4"
"303","ENSG00000101438","SLC32A1"
"304","ENSG00000115665","SLC5A7"
"305","ENSG00000184347","SLIT3"
"306","ENSG00000112562","SMOC2"
"307","ENSG00000132639","SNAP25"
"308","ENSG00000173267","SNCG"
"309","ENSG00000168807","SNTB2"
"310","ENSG00000108018","SORCS1"
"311","ENSG00000100146","SOX10"
"312","ENSG00000176887","SOX11"
"313","ENSG00000181449","SOX2"
"314","ENSG00000124766","SOX4"
"315","ENSG00000125398","SOX9"
"316","ENSG00000153820","SPHKAP"
"317","ENSG00000066336","SPI1"
"318","ENSG00000262655","SPON1"
"319","ENSG00000157005","SST"
"320","ENSG00000147488","ST18"
"321","ENSG00000168610","STAT3"
"322","ENSG00000152953","STK32B"
"323","ENSG00000076944","STXBP2"
"324","ENSG00000137573","SULF1"
"325","ENSG00000163630","SYNPR"
"326","ENSG00000006128","TAC1"
"327","ENSG00000166863","TAC3"
"328","ENSG00000115353","TACR1"
"329","ENSG00000183662","TAFA1"
"330","ENSG00000136535","TBR1"
"331","ENSG00000009694","TENM1"
"332","ENSG00000135426","TESPA1"
"333","ENSG00000105329","TGFB1"
"334","ENSG00000092969","TGFB2"
"335","ENSG00000120708","TGFBI"
"336","ENSG00000180176","TH"
"337","ENSG00000137801","THBS1"
"338","ENSG00000172673","THEMIS"
"339","ENSG00000187720","THSD4"
"340","ENSG00000144229","THSD7B"
"341","ENSG00000181234","TMEM132C"
"342","ENSG00000121933","TMIGD3"
"343","ENSG00000041982","TNC"
"344","ENSG00000131747","TOP2A"
"345","ENSG00000141510","TP53"
"346","ENSG00000146242","TPBG"
"347","ENSG00000139287","TPH2"
"348","ENSG00000277734","TRAC"
"349","ENSG00000095970","TREM2"
"350","ENSG00000072657","TRHDE"
"351","ENSG00000255690","TRIL"
"352","ENSG00000133107","TRPC4"
"353","ENSG00000072315","TRPC5"
"354","ENSG00000137672","TRPC6"
"355","ENSG00000179981","TSHZ1"
"356","ENSG00000182463","TSHZ2"
"357","ENSG00000167614","TTYH1"
"358","ENSG00000174607","UGT8"
"359","ENSG00000107731","UNC5B"
"360","ENSG00000152818","UTRN"
"361","ENSG00000038427","VCAN"
"362","ENSG00000146469","VIP"
"363","ENSG00000174453","VWC2L"
"364","ENSG00000156076","WIF1"
"365","ENSG00000169064","ZBBX"
"366","ENSG00000184307","ZDHHC23"
